order_id,order_date,customer_id,product_id,store_id,sales_channel,quantity,unit_price_x,discount_pct,total_amount,first_name,last_name,gender,age,signup_date,region_x,tenure_days,product_name,category,brand,cost_price,unit_price_y,margin_pct,store_name,store_type,region_y,city,operating_cost,return_id,return_date,return_reason
O00000,2024-01-31,C0125,P1086,Unknown,Online,2,80.63,0.05,153.2,Ashley,Obrien,Other,69,2024-12-30,East,255,Branda Language,Personal Care,Brandd,69.87,80.63,13.34,,,,,,,,
O00001,2024-09-29,C0633,P0973,S042,In-Store,20,209.16,0.05,3974.0,Sherry,Gilbert,Other,45,2021-04-16,South,1609,Branda Water,Apparel,Brandd,120.11,209.16,42.58,Miller-Douglas Store,Mall Kiosk,West,Los Angeles,22348.09,,,
O00002,2023-08-29,C0653,P0659,Unknown,Online,2,218.6,0.1,393.48,Erik,Williams,Female,34,2022-11-11,North,1035,Brandd Writer,Apparel,Brandc,173.17,218.6,20.78,,,,,,,,
O00003,2024-05-13,C0753,P0666,S014,In-Store,1,78.53,0.2,62.82,Kirsten,Allen,Female,40,2022-10-05,South,1072,Brandb Congress,Apparel,Brandc,65.86,78.53,16.13,Jones-Harris Store,Flagship,West,Houston,39588.81,,,
O00004,2024-07-22,C0627,P0166,S017,In-Store,1,344.93,0.2,275.94,John,Hamilton,Female,60,2021-05-23,South,1572,Branda Human,Apparel,Brandd,174.83,344.93,49.31,Robinson PLC Store,Flagship,East,Phoenix,47603.84,,,
O00005,2024-12-16,C0716,P0205,S018,In-Store,1,14.31,0.05,13.59,David,Brown,Male,46,2020-07-05,North,1894,Branda Congress,Electronics,Brandb,7.9,14.31,44.79,Woods Ltd Store,Franchise,South,Chicago,36631.52,,,
O00006,2023-09-25,C0532,P1171,S045,In-Store,2,230.62,0.0,461.24,Zachary,Bailey,Female,61,2022-06-14,East,1185,Brandd Tax,Apparel,Brandd,185.92,230.62,19.38,"Mcguire, Powers and Lang Store",Flagship,South,Los Angeles,14128.74,,,
O00007,2023-09-27,C0515,P0178,S043,In-Store,2,129.07,0.2,206.51,Elizabeth,Alvarez,Other,46,2023-07-22,East,782,Brandc Use,Personal Care,Brandc,94.08,129.07,27.11,Tyler Group Store,Flagship,South,Los Angeles,44052.99,,,
O00008,2024-03-01,C0456,P0236,S034,In-Store,2,196.93,0.05,374.17,Anthony,Huff,Male,44,2023-04-12,West,883,Brandc Still,Electronics,Brandd,173.04,196.93,12.13,Smith-Parker Store,Flagship,South,Houston,21607.65,,,
O00009,2023-12-02,C0174,P0183,Unknown,Online,3,304.66,0.0,913.98,James,French,Other,60,2024-11-19,North,296,Brandc Direction,Apparel,Branda,181.16,304.66,40.54,,,,,,,,
O00010,2023-05-03,C0334,P0785,S014,In-Store,1,57.39,0.1,51.65,Karen,Williams,Male,44,2022-01-30,West,1320,Brandd Pressure,Personal Care,Brandd,46.09,57.39,19.69,Jones-Harris Store,Flagship,West,Houston,39588.81,,,
O00011,2024-04-12,C0686,P0252,S059,In-Store,2,231.15,0.2,369.84,Melissa,Cox,Female,69,2023-01-01,East,984,Brandd Do,Electronics,Brandc,196.57,231.15,14.96,"Foster, Gutierrez and Li Store",Franchise,West,Los Angeles,11797.63,,,
O00012,2024-11-13,C0708,P0681,S059,In-Store,1,342.55,0.0,342.55,Juan,Gross,Male,25,2025-03-14,South,181,Branda Truth,Personal Care,Brandb,190.14,342.55,44.49,"Foster, Gutierrez and Li Store",Franchise,West,Los Angeles,11797.63,,,
O00013,2024-10-05,C0386,P0781,S050,In-Store,1,153.3,0.2,122.64,Terry,Davis,Male,35,2023-03-12,East,914,Brandd Notice,Home & Kitchen,Brandc,99.94,153.3,34.81,"King, Evans and Miller Store",Flagship,South,Houston,43963.6,,,
O00014,2024-11-18,C0228,P0530,Unknown,Online,2,274.32,0.0,548.64,Jennifer,Rogers,Male,24,2021-10-21,North,1421,Branda Firm,Home & Kitchen,Brandd,147.34,274.32,46.29,,,,,,R0171,2024-06-11,No Longer Needed
O00015,2024-05-06,C0348,P0528,S047,In-Store,2,102.08,0.0,204.16,Jason,Higgins,Other,30,2023-04-03,West,892,Brandb Evening,Home & Kitchen,Branda,65.43,102.08,35.9,Hudson Group Store,Mall Kiosk,West,Phoenix,17643.68,,,
O00016,2023-07-16,C0130,P0641,S036,In-Store,1,240.92,0.0,240.92,Sarah,Cruz,Male,58,2023-08-19,South,754,Branda Activity,Apparel,Brandc,123.63,240.92,48.68,Blankenship-Brown Store,Franchise,West,Phoenix,31558.52,R0013,2025-04-10,Defective
O00017,2025-01-19,C0604,P1096,Unknown,Online,1,214.66,0.2,171.73,Juan,Allison,Other,37,2020-04-23,West,1967,Branda Here,Electronics,Brandc,109.25,214.66,49.11,,,,,,,,
